competition,ts_start,ts_end,throw,tori
SAR2210D2T2FIN,4:36,4:38,uchi mata,blue
SAR2210D2T2FIN,6:10,6:12,tani otoshi,white
SAR2210D2T2FIN,13:59,14:01,morote seoi nage,blue
SAR2210D2T2FIN,17:49,17:51,ko uchi barai,blue
SAR2210D2T2FIN,18:35,18:37,ippon seoi nage,blue
SAR2210D2T2FIN,19:01,19:03,eri seoi nage,blue
SAR2210D2T2FIN,23:24,23:26,o uchi gari,blue
SAR2210D2T2FIN,30:31,30:33,tsuri goshi,blue
SAR2210D2T2FIN,41:09,41:11,sode tsurikomi goshi,white
SAR2210D2T2FIN,41:33,41:35,tani otoshi,white
SAR2210D2T2FIN,41:59,42:01,uchi mata,white
SAR2210D2T2FIN,45:01,45:03,tsuri goshi,blue
SAR2210D2T2FIN,48:19,48:21,uchi mata,white
SAR2210D2T2FIN,49:29,49:31,tai otoshi,blue
SAR2210D2T2FIN,1:03:42,1:03:44,tani otoshi,white
SAR2210D2T2FIN,1:04:01,1:04:03,uchi mata,white
SAR2210D2T2FIN,1:04:52,1:04:54,uchi mata,white
SAR2210D2T2FIN,1:05:16,1:05:18,o uchi gari,blue
SAR2210D2T2FIN,1:13:06,1:13.08,tsuri goshi,blue
SAR2210D2T2FIN,1:22:11,1:22:13,de ashi barai,white
SAR2210D2T2FIN,1:22:32,1:22:34,sumi gaeshi,blue
SAR2210D2T2FIN,1:30:52,1:30:54,o uchi gari,blue
SAR2210D2T2FIN,1:40:15,1:40:18,soto makikomi,blue
SAR2210D2T2FIN,1:44:51,1:44:53,soto makikomi,blue
SAR2210D2T2FIN,1:50:40,1:50:42,eri seoi nage,blue
SAR2210D2T2FIN,1:53:03,1:53:05,o soto gari,white
SAR2210D2T2FIN,2:00:41,2:00:43,tsuri goshi,white
SAR2210D2T2FIN,2:01:51,2:01:53,tani otoshi,blue
SAR2210D2T2FIN,2:03:43,2:03:45,tani otoshi,blue
SAR2210D2T2FIN,2:05:08,2:05:10,harai goshi,white
