competition,ts_start,ts_end,throw,tori
LIG2202D1T1,02:45.910,02:47.500,sawari seoi,white
LIG2202D1T1,02:51.250,02:53.200,sawari seoi,blue
LIG2202D1T1,03:13.028,03:14.665,ko soto gari,blue
LIG2202D1T1,04:25.958,04:27.233,kata guruma,blue
LIG2202D1T1,04:45.222,04:47.100,sawari seoi,white
LIG2202D1T1,05:32.362,05:34.400,sawari seoi,white
LIG2202D1T1,06:21.933,06:23.066,kata guruma,blue
LIG2202D1T1,06:45.125,06:46.368,sawari seoi,white
LIG2202D1T1,09:39.572,09:41.232,sawari seoi,blue
LIG2202D1T1,09:42.567,09:43.668,sawari seoi,white
LIG2202D1T1,10:24.095,10:25.500,tai otoshi,blue
LIG2202D1T1,11:26.238,11:27.564,o uchi gari,blue
LIG2202D1T1,11:34.158,11:35.900,tomoe nage,white
LIG2202D1T1,11:50.026,11:51.000,sawari seoi,white
LIG2202D1T1,13:11.092,13:12.166,o uchi gari,blue
LIG2202D1T1,13:12.564,13:13.733,ko uchi gake,white
LIG2202D1T1,14:28.496,14:29.632,de ashi barai,white
LIG2202D1T1,14:30.892,14:32.833,sawari seoi,white
LIG2202D1T1,16:01.732,16:03.300,sawari seoi,blue
LIG2202D1T1,16:45.829,16:46.893,ko uchi makikomi,white
LIG2202D1T1,17:29.832,17:30.633,ko uchi gari,blue
LIG2202D1T1,17:32.933,17:33.933,sawari seoi,white
LIG2202D1T1,23:06.566,23:09.100,sawari seoi,blue
LIG2202D1T1,23:29.663,23:31.029,tai otoshi,blue
LIG2202D1T1,25:52.686,25:53.566,de ashi barai,blue
LIG2202D1T1,25:58.395,26:01.801,uchi mata,blue
LIG2202D1T1,26:58.426,26:59.400,de ashi barai,blue
LIG2202D1T1,26:59.463,27:00.500,sawari seoi,white
LIG2202D1T1,28:41.694,28:42.866,tai otoshi,blue
LIG2202D1T1,31:16.259,31:17.800,sawari seoi,white
LIG2202D1T1,32:15.192,32:16.100,o uchi gake,white
LIG2202D1T1,32:16.827,32:17.354,tai otoshi,blue
LIG2202D1T1,33:06.090,33:07.533,sawari seoi,white
LIG2202D1T1,33:49.788,33:51.133,sawari seoi,white
LIG2202D1T1,34:15.728,34:17.000,sumi gaeshi,blue
LIG2202D1T1,38:18.962,38:20.233,tomoe nage,white
LIG2202D1T1,40:45.397,40:46.766,tomoe nage,blue
LIG2202D1T1,41:14.729,41:15.700,uchi mata,white
LIG2202D1T1,49:16.831,49:18.034,sawari seoi,white
LIG2202D1T1,51:32.292,51:35.366,sumi gaeshi,white
LIG2202D1T1,57:05.149,57:07.400,sawari seoi,blue
LIG2202D1T1,59:00.990,59:02.966,yoko tomoe nage,blue
LIG2202D1T1,1:01:10.800,1:01:11.966,ura nage,blue
LIG2202D1T1,1:04:04.465,1:04:06.533,uchi mata,blue
LIG2202D1T1,1:04:49.661,1:04:51.200,uchi mata,blue
LIG2202D1T1,1:05:24.764,1:05:26.933,o uchi gake,blue
LIG2202D1T1,1:08:15.624,1:08:16.800,sawari seoi,white
LIG2202D1T1,1:09:09.028,1:09:11.566,tomoe nage,blue
LIG2202D1T1,1:11:47.462,1:11:48.800,sawari seoi,white
LIG2202D1T1,1:13:43.194,1:13:44.766,sawari seoi,white
LIG2202D1T1,1:14:52.696,1:14:53.733,tai otoshi,white
LIG2202D1T1,1:16:31.092,1:16:32.733,sawari seoi,blue
LIG2202D1T1,1:17:35.159,1:17:36.700,tani otoshi,white
LIG2202D1T1,1:20:03.792,1:20:05.233,sawari seoi,blue
LIG2202D1T1,1:24:29.398,1:24:30.433,sawari seoi,white
LIG2202D1T1,1:24:55.133,1:24:56.466,sawari seoi,white
LIG2202D1T1,1:24:58.666,1:25:00.400,sumi gaeshi,blue
LIG2202D1T1,1:28:44.296,1:28:46.533,sumi gaeshi,blue
LIG2202D1T1,1:41:22.500,1:41:23.833,tani otoshi,blue
LIG2202D1T1,1:42:18.897,1:42:20.033,de ashi barai,white
LIG2202D1T1,1:43:46.466,1:43:49.466,uchi mata,blue
LIG2202D1T1,1:46:55.526,1:46:56.633,sawari seoi,blue
LIG2202D1T1,1:50:44.829,1:50:46.066,sawari seoi,white
LIG2202D1T1,1:51:22.091,1:51:23.866,o soto gake,white
LIG2202D1T1,1:51:50.193,1:51:51.866,sawari seoi,white
LIG2202D1T1,1:52:14.995,1:52:16.566,sawari seoi,white
LIG2202D1T1,1:52:45.797,1:52:46.935,o soto gake,white
LIG2202D1T1,1:53:06.797,1:53:08.200,sawari seoi,white
LIG2202D1T1,1:53:11.666,1:53:13.300,de ashi barai,white
LIG2202D1T1,1:55:09.957,1:55:12.800,sode tsurikomi goshi,white
LIG2202D1T1,1:55:43.893,1:55:45.233,soto makikomi,blue
LIG2202D1T1,1:59:41.932,1:59:43.400,sode tsurikomi goshi,white
