competition,ts_start,ts_end,throw,tori
LIS2104D1T3,3:29,3:33,eri seoi nage,blue
LIS2104D1T3,5:08,5:10,kata guruma,white
LIS2104D1T3,15:13,15:15,sasae tsurikomi ashi,blue
LIS2104D1T3,18:47,18:49,soto makikomi,white
LIS2104D1T3,19:02,19:04,eri seoi nage,blue
LIS2104D1T3,19:35,19:36,de ashi barai,white
LIS2104D1T3,21:07,21:08,de ashi barai,white
LIS2104D1T3,23:26,23:28,eri seoi nage,white
LIS2104D1T3,24:35,24:26,eri seoi nage,white
LIS2104D1T3,25.46,25:49,kata guruma,white
LIS2104D1T3,26:13,26:15,sumi gaeshi,white
LIS2104D1T3,26:46,26:48,kata guruma,white
LIS2104D1T3,27:33,27:35,yoko otoshi,white
LIS2104D1T3,28:32,28:34,tomoe nage,blue
LIS2104D1T3,31:20,31:22,kata guruma,blue
LIS2104D1T3,34:45,34:47,sode tsurikomi goshi,white
LIS2104D1T3,35:13,35:17,sode tsurikomi goshi,blue
LIS2104D1T3,37:15,37:18,kata guruma,blue
LIS2104D1T3,37:30,37:32,ura nage,white
LIS2104D1T3,37:52,37:55,eri seoi nage,white
LIS2104D1T3,38:31,38:32,tai otoshi,white
LIS2104D1T3,38:34,38:38,ippon seoi nage,white
LIS2104D1T3,41:27,41:30,o uchi gari,white
LIS2104D1T3,42:16,42:21,soto makikomi,blue
LIS2104D1T3,43:03,43:06,ippon seoi nage,blue
LIS2104D1T3,43:35,43:37,tai otoshi,white
LIS2104D1T3,45:46,45:48,uchi mata,white
LIS2104D1T3,46:10,46:12,ko uchi barai,white
LIS2104D1T3,46:31,46:36,uchi mata,white
LIS2104D1T3,48:36,48:40,uchi mata,white
LIS2104D1T3,49:37,49:39,sumi gaeshi,white
LIS2104D1T3,50:12,50:14,tai otoshi,white
LIS2104D1T3,50:27,50:29,ashi guruma,blue
LIS2104D1T3,52:46,52:50,o soto gari,white
LIS2104D1T3,57:38,57:40,tai otoshi,white
LIS2104D1T3,57:59,58:02,tai otoshi,blue
LIS2104D1T3,59:10,59:14,soto makikomi,blue
LIS2104D1T3,1:00:06,1:00:09,uchi mata,blue
LIS2104D1T3,1:01:04,1:01:05,ko uchi barai,blue
LIS2104D1T3,1:02:39,1:02:40,tomoe nage,blue
LIS2104D1T3,1:05:21,1:05:24,ura nage,white
LIS2104D1T3,1:14:10,1:14:12,ippon seoi nage,blue
LIS2104D1T3,1:15:27,1.15:29,yoko tomoe nage,white
LIS2104D1T3,1:16:11,1:16:12,ippon seoi nage,blue
LIS2104D1T3,1:17:04,1:17:06,yoko tomoe nage,white
LIS2104D1T3,1:17:47,1:17:50,tai otoshi,white
LIS2104D1T3,1:23:04,1:23:07,ippon seoi nage,blue
LIS2104D1T3,1:26:37,1:26:42,kata guruma,white
LIS2104D1T3,1:42:05,1:42:07,morote seoi nage,blue
LIS2104D1T3,1:45:39,1:45:42,o uchi gari,white
LIS2104D1T3,1:49:24,1:49:27,sode tsurikomi goshi,blue
LIS2104D1T3,1:50:43,1:50:45,kata guruma,blue
LIS2104D1T3,1:54:00,1:54:04,ura nage,blue
LIS2104D1T3,1:54:29,1:54:32,sumi gaeshi,blue
LIS2104D1T3,1:54:43,1:54:45,ura nage,blue
LIS2104D1T3,1:55:09,1:55:10,tani otoshi,blue
LIS2104D1T3,1:57:17,1:57:21,ippon seoi nage,blue
LIS2104D1T3,1:57:52,1:57:55,de ashi barai,blue
LIS2104D1T3,1:58:15,1:58:17,ippon seoi nage,blue
LIS2104D1T3,1:58:42,1:58:56,ashi guruma,white
LIS2104D1T3,1:59:12,1:59:15,tomoe nage,white
LIS2104D1T3,1:59:42,1:59:45,morote seoi nage,blue
LIS2104D1T3,2:01:26,2:01:30,tomoe nage,white
LIS2104D1T3,2:03:05,2:03:08,morote seoi nage,blue
LIS2104D1T3,2:04:30,2:04:32,o soto gari,white
LIS2104D1T3,2:05:17,2:05:20,o soto gari,white
LIS2104D1T3,2:05:50,2:05:53,o soto gari,white
LIS2104D1T3,2:06:15,2:06:20,o soto gari,white
LIS2104D1T3,2:07:57,2:08:00,o soto gari,white
LIS2104D1T3,2:11:27,2:11:29,ko soto gari,blue
LIS2104D1T3,2:16:10,2:16:13,ura nage,blue
LIS2104D1T3,2:16:36,2:16:40,ko uchi makikomi,white
LIS2104D1T3,2:18:09,2:18:12,ippon seoi nage,white
LIS2104D1T3,2:20:28,2:20:31,o soto gari,white
LIS2104D1T3,2:21:49,2:21:52,ura nage,blue
LIS2104D1T3,2:23:03,2:23:07,uchi mata,white
LIS2104D1T3,2:28:17,2:28:20,harai goshi,blue
LIS2104D1T3,2:36:51,2:36:56,kata guruma,blue
LIS2104D1T3,2:46:21,2:46:24,o soto gari,white
LIS2104D1T3,2:52:50,2:52:54,ippon seoi nage,white
LIS2104D1T3,2:52:33,2:52:36,morote seoi nage,white
LIS2104D1T3,2:55:11,2:55:14,sumi gaeshi,blue
LIS2104D1T3,2:56:25,2:56:27,tomoe nage,blue
LIS2104D1T3,2:56:45,2:56:47,ko uchi makikomi,blue
LIS2104D1T3,3:00:20,3:00:25,soto makikomi,blue
LIS2104D1T3,3:05:38,3:05:40,ura nage,white
LIS2104D1T3,3:06:43,3:06:46,ippon seoi nage,blue
LIS2104D1T3,3:16:33,3:16:35,sode tsurikomi goshi,blue
LIS2104D1T3,3:18:36,3:18:38,ippon seoi nage,blue
LIS2104D1T3,3:21:25,3:21:28,morote seoi nage,blue
LIS2104D1T3,3:23:02,3:23:04,harai goshi,white
LIS2104D1T3,3:24:40,3:24:42,ura nage,white
LIS2104D1T3,3:25:19,3:25:21,kata guruma,white
LIS2104D1T3,3:28:47,3:28:50,uchi mata,white
LIS2104D1T3,3:33:14,3:33:16,tani otoshi,white
LIS2104D1T3,3:34:19,3:34:21,tai otoshi,white
LIS2104D1T3,3:40:51,3:40:53,uchi mata,white
LIS2104D1T3,3:41:33,3.41:36,ko uchi barai,white
LIS2104D1T3,3:43:19,3:43:21,sode tsurikomi goshi,blue
