competition,ts_start,ts_end,throw,tori
LIG2202D2T3,4:43,4:45,sumi gaeshi,blue
LIG2202D2T3,5:25,5:27,tai otoshi,blue
LIG2202D2T3,6:57,6:59,uchi mata,blue
LIG2202D2T3,8:31,8:33,tani otoshi,blue
LIG2202D2T3,14:49,14:51,sode tsurikomi goshi,white
LIG2202D2T3,16:40,16:42,ippon seoi nage,white
LIG2202D2T3,17:04,17:06,uchi mata,blue
LIG2202D2T3,19:12,19:14,uchi mata,blue
LIG2202D2T3,23:32,23:34,sumi gaeshi,white
LIG2202D2T3,29:29,29:31,sumi gaeshi,blue
LIG2202D2T3,30:14,30:16,harai goshi,blue
LIG2202D2T3,32:10,32:12,tani otoshi,blue
LIG2202D2T3,33:06,33:07,o uchi gari,white
LIG2202D2T3,33:47,33:49,o uchi gari,white
LIG2202D2T3,34:54,34:56,tomoe nage,blue
LIG2202D2T3,36:26,36:28,tomoe nage,blue
LIG2202D2T3,36:46,36:48,de ashi barai,blue
LIG2202D2T3,45:54,45:56,uchi mata,white
LIG2202D2T3,47:47,47:49,ko uchi gari,blue
LIG2202D2T3,49:58,50:00,ippon seoi nage,white
LIG2202D2T3,51:22,51:24,tani otoshi,white
LIG2202D2T3,55:00,55:02,sode tsurikomi goshi,blue
LIG2202D2T3,55:49,55:50,kata guruma,blue
LIG2202D2T3,1:03:15,1:03:17,uchi mata,white
LIG2202D2T3,1:06:35,1:06:37,uchi mata,white
LIG2202D2T3,1:08:02,1:08:04,o uchi gari,blue
LIG2202D2T3,1:11:30,1:11:31,tani otoshi,blue
LIG2202D2T3,1:13:34,1:13:35,tani otoshi,blue
LIG2202D2T3,1:14:32,1:14:34,tai otoshi,white
LIG2202D2T3,1:16:16,1:16:18,tai otoshi,white
LIG2202D2T3,1:17:44,1:17:46,ko soto gari,blue
LIG2202D2T3,1:18:34,1:18:36,ko soto gari,blue
LIG2202D2T3,1:21:25,1:21:27,de ashi barai,blue
LIG2202D2T3,1:23:55,1:23:57,uchi mata,blue
LIG2202D2T3,1:25:10,1:25:12,soto makikomi,white
LIG2202D2T3,1:27:08,1:27:10,uchi mata,white
LIG2202D2T3,1:27:42,1:27:44,uchi mata,white
LIG2202D2T3,1:29:10,1:29:11,sasae tsurikomi ashi,white
LIG2202D2T3,1:37:04,1:37:06,soto makikomi,blue
LIG2202D2T3,1:39:51,1:39:53,soto makikomi,blue
LIG2202D2T3,1:41:33,1:41:35,uchi mata,blue
LIG2202D2T3,1:42:46,1:42:48,sode tsurikomi goshi,white
LIG2202D2T3,1:49:10,1:49:12,harai goshi,white
LIG2202D2T3,1:52:26,1:52:29,harai goshi,blue
LIG2202D2T3,1:53:21,1:53:23,tani otoshi,blue
LIG2202D2T3,1:55:36,1:55:38,o uchi gari,blue
LIG2202D2T3,1:56:55,1:56:56,uchi mata,blue
LIG2202D2T3,2:07:17,2:07:19,uchi mata,white
LIG2202D2T3,2:11:53,2:11:55,harai goshi,white
LIG2202D2T3,2:18:29,2:18:31,kata guruma,white
LIG2202D2T3,2:24:15,2:24:17,uchi mata,white
LIG2202D2T3,2:28:12,2:28:14,soto makikomi,white
LIG2202D2T3,2:30:32,2:30:34,tai otoshi,blue
LIG2202D2T3,2:30:59,2:31:01,uchi mata,white
LIG2202D2T3,2:34:14,2:34:16,tai otoshi,white
LIG2202D2T3,2:41:45,2:41:47,tomoe nage,white
LIG2202D2T3,2:48:00,2:48:02,ippon seoi nage,white
LIG2202D2T3,2:48:56,2:48:58,harai goshi,white
LIG2202D2T3,2:53:57,2:53:59,ippon seoi nage,white
LIG2202D2T3,2:55:11,2:55:13,ippon seoi nage,white
LIG2202D2T3,2:59:45,2:59:48,o uchi gari,white
LIG2202D2T3,3:02:15,3:02:16,de ashi barai,blue
LIG2202D2T3,3:02:51,3:02:52,o uchi gari,white
LIG2202D2T3,3:03:18,3:03:20,ko soto gari,blue
LIG2202D2T3,3:19:43,3:19:45,ippon seoi nage,white
LIG2202D2T3,3:22:44,3:22:47,soto makikomi,blue
LIG2202D2T3,3:23:30,3:23:32,sumi gaeshi,blue
LIG2202D2T3,3:24:55,3:24:57,sode tsurikomi goshi,white
LIG2202D2T3,3:25:31,3:25:33,sode tsurikomi goshi,white
LIG2202D2T3,3:33:52,3:33:53,ko soto gari,blue
LIG2202D2T3,3:34:48,3:34:50,kata guruma,blue
LIG2202D2T3,3:37:03,3:37:06,morote seoi nage,blue
LIG2202D2T3,3:46:15,3:46:17,uchi mata,white
LIG2202D2T3,3:50:08,3:50:10,sode tsurikomi goshi,blue
LIG2202D2T3,3:50:31,3:50:33,sumi gaeshi,white
LIG2202D2T3,3:51:10,3:51:12,kata guruma,white
LIG2202D2T3,3:54:32,3:54:34,sode tsurikomi goshi,blue
LIG2202D2T3,3:58:18,3:58:20,tani otoshi,blue
LIG2202D2T3,4:38:33,4:38:35,ko uchi barai,blue
LIG2202D2T3,4:45:10,4:45:12,ura nage,blue
LIG2202D2T3,4:46:31,4:46:34,uchi mata,white
LIG2202D2T3,4:48:46,4:48:48,ura nage,blue
LIG2202D2T3,4:49:17,4:49:19,o uchi gari,white
LIG2202D2T3,5:01:49,5:01:52,ko soto gari,white
LIG2202D2T3,5:15:19,5:15:21,sumi gaeshi,white
LIG2202D2T3,5:17:18,5:17:20,sumi gaeshi,white
LIG2202D2T3,5:24:40,5:24:42,soto makikomi,blue
LIG2202D2T3,5:45:06,5:45:08,ippon seoi nage,white
LIG2202D2T3,5:55:30,5:55:32,tani otoshi,white
LIG2202D2T3,5:57:08,5:57:10,morote seoi nage,blue
