competition,ts_start,ts_end,throw,tori
SAR2210D2T1FIN,4:30,4:36,Okuri Ashi Barai,white
SAR2210D2T1FIN,5:27,5:32,O Uchi Gari,blue
SAR2210D2T1FIN,6:35,6:41,Sumi Gaeshi,blue
SAR2210D2T1FIN,25:10,25:16,Tani Otoshi,white
SAR2210D2T1FIN,39:10,39:14,Eri Seoi Nage,blue
SAR2210D2T1FIN,39:43,39:46,Tai Otoshi,blue
SAR2210D2T1FIN,40:09,40:13,O Uchi Gari,blue
SAR2210D2T1FIN,40:40,40:44,Sawari Seoi,blue
SAR2210D2T1FIN,41:29,41:32,O Uchi Gari,blue
SAR2210D2T1FIN,57:01,57:04,Soto Makikomi,white
SAR2210D2T1FIN,58:33,58:36,Harai Goshi,blue
SAR2210D2T1FIN,1:13:50,1:13:53,Sawari Seoi,blue
SAR2210D2T1FIN,1:14:34,1:14:36,Sawari Seoi,blue
SAR2210D2T1FIN,1:14:51,1:14:53,Sawari Seoi,blue
SAR2210D2T1FIN,1:14:55,1:14:56,Sawari Seoi,blue
SAR2210D2T1FIN,1:14:57,1:14:59,Sawari Seoi,blue
SAR2210D2T1FIN,1:15:36,1:15:40,Sawari Seoi,white
SAR2210D2T1FIN,1:16:29,1:16:31,Sawari Seoi,white
SAR2210D2T1FIN,1:17:47,1:17:49,O Soto Gari,white
SAR2210D2T1FIN,1:18:26,1:18:28,Ko Uchi Gari,white
