competition,ts_start,ts_end,throw,tori
LIS2104D3T1,5:18,5:22,sasae tsurikomi ashi,white
LIS2104D3T1,5:50,5:52,sasae tsurikomi ashi,white
LIS2104D3T1,7:08,7:10,ippon seoi nage,white
LIS2104D3T1,8:12,8:15,ko soto gari,white
LIS2104D3T1,9:53,9:56,uchi mata,blue
LIS2104D3T1,11:13,11:16,uchi mata,blue
LIS2104D3T1,12:15,12:18,uchi mata,blue
LIS2104D3T1,15:21,15.23,ippon seoi nage,white
LIS2104D3T1,19:35,19:37,harai goshi,blue
LIS2104D3T1,20:03,20:05,sasae tsurikomi ashi,white
LIS2104D3T1,23:04,23:06,ko soto gari,white
LIS2104D3T1,23:30,23:32,ura nage,white
LIS2104D3T1,25:43,25:44,ko soto gari,blue
LIS2104D3T1,26:23,26:25,ippon seoi nage,blue
LIS2104D3T1,29:47,29:50,tai otoshi,white
LIS2104D3T1,31:57,31:00,ippon seoi nage,blue
LIS2104D3T1,33:43,33:45,morote seoi nage,blue
LIS2104D3T1,39:12,39:14,tai otoshi,white
LIS2104D3T1,43:14,43:17,uchi mata,blue
LIS2104D3T1,46:09,46:11,ippon seoi nage,white
LIS2104D3T1,46:53,46:55,harai goshi,white
LIS2104D3T1,55:24,55:26,ippon seoi nage,white
LIS2104D3T1,57:52,57:54,o uchi gari,white
LIS2104D3T1,1:01:45,1:01:47,o uchi gari,blue
LIS2104D3T1,1:05:04,1:05:06,uchi mata,white
LIS2104D3T1,1:05:21,1:05:23,o uchi gari,white
LIS2104D3T1,1:07:23,1:07:26,o soto gari,white
LIS2104D3T1,1:09:09,1:09:11,morote seoi nage,white
LIS2104D3T1,1:10:22,1:10:26,sode tsurikomi goshi,white
LIS2104D3T1,1:20:59,1:21:01,tani otoshi,white
LIS2104D3T1,1:22:31,1:22:32,ko uchi barai,white
LIS2104D3T1,1:25:43,1:25:46,ko soto gari,white
LIS2104D3T1,1:45:35,1:45:37,soto makikomi,white
LIS2104D3T1,1:49:20,1:49:22,sode tsurikomi goshi,blue
LIS2104D3T1,1:59:50,1:59:53,sumi gaeshi,white
LIS2104D3T1,2:01:22,2:01:24,sumi gaeshi,white
LIS2104D3T1,2:04:49,2:04:51,ko soto gari,white
LIS2104D3T1,2:07:44,2:07:46,sasae tsurikomi ashi,white
LIS2104D3T1,2:09:13,2:09:16,ura nage,white
LIS2104D3T1,2:11:38,2:11:40,ko soto gari,white
LIS2104D3T1,2:13:35,2:13:38,o uchi gari,white
LIS2104D3T1,2:16:52,2:16:54,ko soto gari,blue
LIS2104D3T1,2:21:33,2:21:35,tai otoshi,white
LIS2104D3T1,2:28:38,2:28:40,ippon seoi nage,white
LIS2104D3T1,2:38:16,2:28:19,uchi mata,blue
LIS2104D3T1,2:40:37,2:40:39,sode tsurikomi goshi,blue
LIS2104D3T1,2:42:49,2:42:51,o uchi gari,blue
LIS2104D3T1,2:44:36,2:44:38,sode tsurikomi gohsi,white
LIS2104D3T1,2:44:36,2:44:38,sode tsurikomi gohsi,white
LIS2104D3T1,3:08:15,3:08:17,sumi gaeshi,blue
LIS2104D3T1,3:08:41,3:08:43,sode tsurikomi goshi,blue
LIS2104D3T1,3:09:45,3:09:47,sasae tsurikomi ashi,white
LIS2104D3T1,3:10:11,3:10:13,ko soto gari,white
LIS2104D3T1,3:23:28,3:23:30,ko soto gari,blue
