competition,ts_start,ts_end,throw,tori
LIG2202D2T2,5:10,5:12,tai otoshi,white
LIG2202D2T2,11:10,11:13,ippon seoi nage,white
LIG2202D2T2,21:00,21:02,uchi mata,white
LIG2202D2T2,21:23,21:25,uchi mata,white
LIG2202D2T2,22:06,22:08,uchi mata,blue
LIG2202D2T2,23:52,23:55,harai goshi,blue
LIG2202D2T2,30:47,30:48,ko soto gari,white
LIG2202D2T2,32:54,32:57,uchi mata,white
LIG2202D2T2,37:58,38:00,harai goshi,white
LIG2202D2T2,46:57,46:59,tomoe nage,white
LIG2202D2T2,48:52,48:54,sasae tsurikomi ashi,blue
LIG2202D2T2,49:24,49:26,ippon seoi nage,white
LIG2202D2T2,49:56,49:58,tomoe nage,white
LIG2202D2T2,53:18,53:20,uchi mata,blue
LIG2202D2T2,55:06,55:08,tai otoshi,blue
LIG2202D2T2,57:18,57:20,uchi mata,blue
LIG2202D2T2,58:59,59:01,tai otoshi,blue
LIG2202D2T2,1:00:50,1:00:52,soto makikomi,white
LIG2202D2T2,1:06:46,1:06:48,sode tsurikomi goshi,white
LIG2202D2T2,1:08:08,1:08:10,kata guruma,blue
LIG2202D2T2,1:08:42,1:08:44,sumi gaeshi,white
LIG2202D2T2,1:13:32,1:13:34,sode tsurikomi goshi,white
LIG2202D2T2,1:19:02,1:19:04,o uchi gari,white
LIG2202D2T2,1:24:07,1:24:08,ippon seoi nage,white
LIG2202D2T2,1:27:02,1:27:04,morote seoi nage,white
LIG2202D2T2,1:38:53,1:38:55,morote seoi nage,white
LIG2202D2T2,1:40:03,1:40:04,sode tsurikomi goshi,white
LIG2202D2T2,1:42:22,1:42:24,sumi gaeshi,blue
LIG2202D2T2,1:43:57,1:43:59,tai otoshi,blue
LIG2202D2T2,1:44:59,1:45:01,ko soto gari,white
LIG2202D2T2,1:52:11,1:52:13,tani otoshi,white
LIG2202D2T2,1:55:46,1:55:48,ippon seoi nage,white
LIG2202D2T2,1:57:34,1:57:36,tani otoshi,white
LIG2202D2T2,2:01:43,2:01:45,uchi mata,white
LIG2202D2T2,2:02:48,2:02:50,sode tsurikomi goshi,blue
LIG2202D2T2,2:04:00,2:04:02,sode tsurikomi goshi,blue
LIG2202D2T2,2:10:37,2:10:39,tai otoshi,white
LIG2202D2T2,2:17:50,2:17:52,tomoe nage,blue
LIG2202D2T2,2:19:40,2:19:42,sumi gaeshi,blue
LIG2202D2T2,2:22:06,2:22:07,morote seoi nage,blue
LIG2202D2T2,2:24:14,2:24:16,morote seoi nage,white
LIG2202D2T2,2:25:40,2:25:42,sode tsurikomi goshi,white
LIG2202D2T2,2:31:05,2:31:09,sumi gaeshi,white
LIG2202D2T2,2:54:12,2:54:14,ippon seoi nage,blue
LIG2202D2T2,2:55:49,2:55:50,ippon seoi nage,blue
LIG2202D2T2,3:04:12,3:04:13,ippon seoi nage,white
LIG2202D2T2,3:15:12,3:15:13,uchi mata,white
LIG2202D2T2,3:18:37,3:18:40,tomoe nage,white
LIG2202D2T2,3:21:58,3:22:00,uchi mata,blue
LIG2202D2T2,3:31:35,3:31:37,ippon seoi nage,blue
LIG2202D2T2,3:32:07,3:32:09,ippon seoi nage,blue
LIG2202D2T2,3:37:40,3:37:42,tai otoshi,blue
LIG2202D2T2,4:39:33,4:39:35,ko soto gari,white
LIG2202D2T2,4:40:44,4:40:46,o uchi gari,white
LIG2202D2T2,4:42:24,4:42:25,ko uchi barai,white
LIG2202D2T2,4:45:10,4:45:12,harai goshi,white
LIG2202D2T2,4:58:54,4:58:55,ippon seoi nage,blue
LIG2202D2T2,5:02:19,5:02:22,ippon seoi nage,blue
LIG2202D2T2,5:09:48,5:09:50,sode tsurikomi goshi,blue
LIG2202D2T2,5:13:26,5:13:28,morote seoi nage,blue
LIG2202D2T2,4:24:59,4:25:01,tai otoshi,blue
LIG2202D2T2,5:49:31,5:49:33,sode tsurikomi goshi,white
