competition,ts_start,ts_end,throw,tori
LIG2202D1T3,2:34,2:38,sumi gaeshi,blue
LIG2202D1T3,3:51,3:53,tai otoshi,blue
LIG2202D1T3,5:45,5:46,tai otoshi,white
LIG2202D1T3,6:08,6:10,sode tsurikomi goshi,white
LIG2202D1T3,7:42,7:44,tsuri goshi,white
LIG2202D1T3,9:12,9:15,ko soto gari,white
LIG2202D1T3,9:46,9:48,o uchi gari,white
LIG2202D1T3,17:31,17:35,uchi mata,blue
LIG2202D1T3,17:47,17:49,uchi mata,white
LIG2202D1T3,22:42,22:44,ko soto gari,white
LIG2202D1T3,24:21,24:24,sode tsurikomi goshi,blue
LIG2202D1T3,27:29,27:32,o uchi gari,blue
LIG2202D1T3,29:10,29:12,o uchi gari,blue
LIG2202D1T3,33:04,33:06,tai otoshi,white
LIG2202D1T3,34:00,34:03,morote seoi nage,white
LIG2202D1T3,37:49,37:52,harai goshi,white
LIG2202D1T3,40:18,40:21,ippon seoi nage,white
LIG2202D1T3,43:33,43:35,ippon seoi nage,white
LIG2202D1T3,45:09,45:11,tai otoshi,blue
LIG2202D1T3,49:37,49:39,tai otoshi,blue
LIG2202D1T3,55:49,55:51,tsuri goshi,white
LIG2202D1T3,1:00:00,1:00:03,morote seoii nage,white
LIG2202D1T3,1:06:42,1:06:44,uchi mata,blue
LIG2202D1T3,1:17:42,1:17:45,o soto gari,blue
LIG2202D1T3,1:21:52,1:21:53,morote seoi nage,blue
LIG2202D1T3,1:40:00,1:40:03,ura nage,blue
LIG2202D1T3,1:42:27,1:42:19,sumi gaeshi,white
LIG2202D1T3,1:44:41,1:44:44,ko soto gari,blue
LIG2202D1T3,1:48:48,1:48:51,uchi mata,blue
LIG2202D1T3,1:50:24,1:50:26,ko soto gari,blue
LIG2202D1T3,1:54:07,1:54:09,tomoe nage,blue
LIG2202D1T3,1:54:57,1:54:59,sumi gaeshi,blue
LIG2202D1T3,1:57:48,1:57:50,o uchi gari,blue
LIG2202D1T3,2:03:54,2:03:56,morote seoi nage,white
LIG2202D1T3,2:05:12,2:05:14,morote seoi nage,white
LIG2202D1T3,2:07:12,2:07:14,morote seoi nage,blue
LIG2202D1T3,2:07:30,2:07:31,o uchi gari,white
LIG2202D1T3,2:12:31,2:12:33,ippon seoi nage,white
LIG2202D1T3,2:13:36,2:13:38,morote seoi nage,blue
LIG2202D1T3,2:15:47,2.15:49,sode tsurikomi goshi,blue
LIG2202D1T3,2:18:06,2:18:07,ko soto gari,blue
LIG2202D1T3,2:18:12,2:18:14,sumi gaeshi,blue
LIG2202D1T3,2:19:52,2:19:57,tsuri goshi,blue
LIG2202D1T3,2:23:50,2:23:53,uchi mata,white
LIG2202D1T3,2:27:55,2:27:57,eri seoi nage,blue
LIG2202D1T3,2:28:26,2:28:28,sumi gaeshi,white
LIG2202D1T3,2:32:49,2:32:51,sumi gaeshi,white
LIG2202D1T3,2:35:44,2:35:47,tai otoshi,white
LIG2202D1T3,2:37:45,2:37:46,uchi mata,white
LIG2202D1T3,2:49:09,2:49:11,o uchi gari,white
LIG2202D1T3,2:41:16,2:41:17,sumi gaeshi,white
LIG2202D1T3,2:43:00,2:43:03,uchi mata,white
LIG2202D1T3,2:47:56,2:47:58,sumi gaeshi,blue
LIG2202D1T3,2:48:48,2:48:53,tusri goshi,blue
LIG2202D1T3,2:54:42,2:54:46,kata guruma,white
LIG2202D1T3,3:09:10,3:09:12,yoko tomoe nage,white
LIG2202D1T3,3:09:32,3:09:35,o uchi gari,blue
LIG2202D1T3,3:10:07,3:10:09,yoko tomoe nage,white
LIG2202D1T3,3:11:37,3:11:39,tomoe nage,blue
LIG2202D1T3,3:17:58,3:18:00,morote seoi nage,white
LIG2202D1T3,3:19:05,3:19:06,o soto gari,white
LIG2202D1T3,3:21:43,3:21:45,harai goshi,white
LIG2202D1T3,3:27:48,3:27:50,sode tsurikomi goshi,blue
LIG2202D1T3,3:28:07,3:28:09,sode tsurikomi goshi,blue
LIG2202D1T3,3:29:20,3:29:22,ippon seoi nage,blue
LIG2202D1T3,3:29:59,3:30:01,ippon seoi nage,blue
LIG2202D1T3,3:41:13,3:41:15,ko soto gari,blue
LIG2202D1T3,3:46:16,3:46:18,ko soto gari,blue
LIG2202D1T3,3:49:37,3:39:39,o uchi gari,white
LIG2202D1T3,3:51:02,3:51:04,kata guruma,blue
LIG2202D1T3,3:54:56,3:54:58,ippon seoi nage,blue
LIG2202D1T3,3:55:44,3:55:45,eri seoi nage,blue
LIG2202D1T3,3:56:17,3:56:19,sode tsurikomi goshi,blue
LIG2202D1T3,3:56:34,3:56:36,kata guruma,blue
LIG2202D1T3,3:58:47,3:58:48,tani otoshi,white
LIG2202D1T3,3:59:20,3:59:21,sumi gaeshi,blue
LIG2202D1T3,3:59:52,3:59:54,kata guruma,blue
LIG2202D1T3,4:01:36,4:01:38,o uchi gari,white
LIG2202D1T3,4:03:09,4:03:11,kata guruma,white
LIG2202D1T3,4:06:41,4:06:43,sode tsurikomi goshi,white
LIG2202D1T3,4:08:50,4:08:51,ko uchi barai,white
LIG2202D1T3,4:09:16,4:09:17,ko uchi barai,white
LIG2202D1T3,4:28:07,4:28:10,morote seoi nage,white
LIG2202D1T3,4:30:24,4:30:27,kata guruma,blue
LIG2202D1T3,4:32:35,4:32:37,morote seoi nage,blue
LIG2202D1T3,4:34:25,4:34:27,ko soto gari,white
LIG2202D1T3,4:34:37,4:34:38,tomoe nage,white
LIG2202D1T3,4:38:18,4:38:20,tomoe nage,white
LIG2202D1T3,4:38:45,4:38:47,tomoe nage,white
LIG2202D1T3,4:46:26,4:46:28,ko uchi gari,blue
LIG2202D1T3,5:07:16,5:07:20,uchi mata,white
LIG2202D1T3,5:10:27,5:10:29,kata guruma,white
LIG2202D1T3,5:11:46,5:11:49,ura nage,white
LIG2202D1T3,5:12:32,5:12:34,ko uchi gari,white
LIG2202D1T3,5:14:26,5:14:28,tani otoshi,blue
LIG2202D1T3,5:16:40,5:16:41,ko soto gari,blue
LIG2202D1T3,5:21:30,5:21:31,ko uchi barai,blue
LIG2202D1T3,5:22:35,5:22:36,ko uchi gari,white
LIG2202D1T3,5:25:29,5:25:30,o uchi gari,white
LIG2202D1T3,5:26:31,5:26:32,uchi mata,blue
LIG2202D1T3,5:27:43,5:27:45,tai otoshi,blue
LIG2202D1T3,5:28:59,5:29:01,utsuri goshi,white
LIG2202D1T3,5:33:14,5:33:17,kata guruma,blue
LIG2202D1T3,5:33:40,5:33:42,morote seoi nage,white
LIG2202D1T3,5:34:50,5:34:52,morote seoi nage,white
LIG2202D1T3,6:27:20,6:27:22,uchi mata,blue
LIG2202D1T3,6:30:16,6:30:18,uchi mata,white
LIG2202D1T3,6:42:20,6:42:21,uchi mata,white
LIG2202D1T3,6:43:01,6:43:02,uchi mata,white
LIG2202D1T3,6:46:17,6:46:18,ko soto gari,white
LIG2202D1T3,6:46:58,6:47:00,o soto gari,blue
LIG2202D1T3,6:48:09,6:48:11,uchi mata,blue
LIG2202D1T3,7:07:58,7:07:59,tani otoshi,white
LIG2202D1T3,7:18:50,7:18:58,uchi mata,blue
LIG2202D1T3,7:38:13,7:38:14,ippon seoi nage,blue
LIG2202D1T3,7:39:06,7:39:09,morote seoi nage,blue 
LIG2202D1T3,7:40:09,7:40:10,morote seoi nage,blue
LIG2202D1T3,7:41:39,7:41:41,tsuri goshi,blue
